MOD15A2H.A2000049.h30v12.006.2020041210828.Lai_500m,MOD15A2H,A2000049,Lat-33.6152Lon150.7236Samp17Line17,2020041210828,F,F,F,F,F,F,F,F,F,F,F,F,F,0.2,0.2,0.2,0.3,F,F,F,F,F,F,F,F,F,F,F,F,0.2,0.2,F,F,F,F,F,F,F,F,F,F,F,0.1,0.1,0.3,0.2,0.2,F,F,F,0.7,F,F,F,F,F,F,F,0.1,0.3,0.4,0.3,0.5,F,0.3,0.7,0.3,0.3,F,F,F,F,F,F,F,F,F,F,0.3,F,0.2,0.5,0.5,0.5,F,F,F,F,F,F,F,0.1,F,F,F,0.3,0.3,0.3,0.5,F,F,F,F,F,F,F,F,F,F,F,0.3,0.3,0.3,0.6,0.8,0.8,0.5,F,F,F,F,F,F,F,F,F,F,0.3,0.8,1.0,0.8,F,F,F,F,F,F,F,F,F,F,0.3,0.4,0.8,0.8,0.8,F,F,F,F,F,F,F,F,F,F,F,0.3,0.3,0.7,0.7,0.8,F,F,0.8,0.8,0.6,F,F,F,F,F,F,0.3,0.7,0.7,0.6,F,F,F,0.9,0.8,F,F,0.6,1.0,1.1,F,0.3,F,0.5,0.5,0.5,F,F,1.0,0.9,1.0,0.6,0.6,F,F,1.1,F,0.3,0.5,F,F,F,0.5,0.5,0.5,0.6,0.6,0.6,0.6,F,F,F,F,F,0.3,0.3,F,F,0.5,0.5,0.5,F,F,F,F,F,F,F,F,F,F,F,F,F,0.5,0.5,0.5,0.7,F,F,F,F,F,0.2,F,F,0.6,0.6,F,0.9,0.9,0.5,0.8,0.8,0.7,F,F,F,0.2,0.2,0.5,0.5,0.5,F,F,F,1.0,1.5,1.4,1.4,F,F,F,F,F,F,F,F,F,F,F,F
MOD15A2H.A2000137.h30v12.006.2020042225448.Lai_500m,MOD15A2H,A2000137,Lat-33.6152Lon150.7236Samp17Line17,2020042225448,F,F,6.5,6.5,1.8,1.6,0.9,1.6,1.6,1.6,1.6,1.7,1.6,1.7,1.7,1.7,1.5,F,F,1.9,1.8,1.7,1.7,1.8,1.9,1.6,1.6,1.5,2.0,2.6,2.5,1.5,1.5,F,F,4.9,1.7,1.7,1.7,1.8,1.9,1.8,1.8,1.8,1.5,2.6,1.5,1.3,2.3,F,1.3,F,1.6,1.5,1.7,1.7,1.7,1.7,1.7,1.5,1.6,1.6,1.8,1.4,1.2,1.3,1.0,0.9,1.6,1.5,1.6,1.5,1.5,1.5,1.5,1.5,1.7,1.0,1.0,1.4,1.1,1.0,1.0,0.9,F,1.5,1.5,1.5,1.4,1.5,1.6,1.1,1.1,1.1,1.6,0.9,1.0,0.8,1.2,F,F,F,1.6,1.7,1.7,1.5,1.7,1.1,1.8,1.6,1.0,0.9,0.9,0.9,1.2,1.3,1.1,F,F,1.2,1.1,1.8,1.0,1.3,1.5,F,F,0.9,1.6,1.3,1.3,1.5,0.9,F,F,0.8,1.8,1.5,1.5,1.2,F,1.1,1.2,1.4,1.1,1.2,1.5,1.3,1.7,1.4,1.6,1.4,1.4,1.2,1.3,0.9,F,1.1,0.9,1.3,1.2,1.3,1.5,1.7,1.6,1.6,1.0,2.1,2.2,1.4,1.4,F,F,0.8,1.0,1.3,1.0,1.3,1.5,1.6,1.1,1.4,1.9,1.5,1.2,1.1,1.4,F,0.6,F,0.9,1.0,0.8,1.0,1.0,1.5,1.5,1.4,1.6,1.5,1.1,F,1.3,F,0.6,0.6,F,F,F,1.1,1.0,1.2,1.8,1.0,1.4,1.5,1.0,1.1,F,F,F,0.6,0.6,0.7,1.0,1.0,1.0,1.6,1.6,1.5,1.5,1.7,0.8,F,F,F,F,F,0.9,0.9,1.0,1.0,1.7,1.7,1.2,1.2,1.5,1.4,1.8,F,1.1,F,F,0.9,0.9,F,0.9,0.9,1.5,2.0,1.9,1.2,1.4,1.7,1.4,1.0,0.9,0.9,0.9,0.9,0.9,1.2,F,1.3,1.6,1.7,1.4,1.2,1.3,1.6,1.1,0.8,0.9,2.6,2.6,0.5,1.2,1.5,1.8
MOD15A2H.A2000145.h30v12.006.2020043014828.Lai_500m,MOD15A2H,A2000145,Lat-33.6152Lon150.7236Samp17Line17,2020043014828,6.9,6.9,5.6,5.6,2.0,1.8,1.0,1.7,1.7,1.8,1.8,1.9,1.8,1.6,2.0,2.0,0.9,F,5.6,2.3,2.0,1.6,1.8,1.9,2.0,1.6,1.3,1.2,1.7,1.6,2.0,1.7,1.2,F,F,3.6,1.8,1.6,1.9,2.0,2.0,2.0,1.3,1.2,1.7,1.6,1.0,1.2,1.5,F,1.5,3.6,2.0,1.8,1.8,1.8,1.8,1.3,1.2,1.5,1.5,1.6,1.6,2.0,1.5,1.2,0.6,0.8,1.7,1.5,1.8,1.6,1.5,1.4,1.5,1.5,1.5,0.9,0.9,1.5,1.0,1.0,1.0,0.9,F,1.6,1.8,1.6,1.3,1.0,1.5,1.0,1.0,0.9,1.5,0.8,0.8,0.8,1.3,F,F,F,1.8,1.6,1.3,1.5,1.5,1.0,1.7,1.4,0.8,0.8,0.8,0.8,1.3,1.3,1.4,F,F,1.1,1.2,1.7,0.8,1.3,1.2,F,F,0.8,1.2,1.3,1.2,1.2,0.8,F,F,0.8,2.1,1.7,1.5,1.6,F,1.1,1.2,1.2,1.4,1.1,1.3,1.3,1.3,1.4,1.2,1.4,1.4,1.2,1.1,0.9,F,0.9,0.9,1.0,1.2,1.2,1.2,1.3,1.3,1.4,0.9,1.8,1.8,1.2,1.7,F,F,0.6,0.7,1.1,0.9,1.2,1.4,1.2,1.1,1.2,1.5,1.7,1.0,1.3,1.4,F,0.4,F,0.8,0.9,0.9,0.8,1.0,1.2,0.8,0.9,1.0,1.9,1.7,F,1.8,F,0.6,0.7,F,F,F,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.6,0.8,F,F,F,0.5,0.6,0.7,1.0,1.0,0.9,1.0,1.1,1.1,1.2,1.0,0.9,F,F,F,F,F,1.0,1.0,0.9,0.8,1.2,1.2,0.9,0.9,1.2,0.9,1.1,F,0.6,F,F,0.8,0.9,F,1.0,0.8,1.2,1.1,1.2,0.9,0.9,1.0,1.0,0.9,0.7,0.7,0.8,0.8,1.0,1.4,F,1.0,1.2,0.9,0.9,0.9,1.2,0.9,0.8,0.6,0.7,F,F,4.1,1.2,1.6,1.4
MOD15A2H.A2000153.h30v12.006.2020045220244.Lai_500m,MOD15A2H,A2000153,Lat-33.6152Lon150.7236Samp17Line17,2020045220244,2.1,F,6.2,6.2,2.0,1.7,0.9,1.4,1.7,1.7,1.8,1.8,1.6,1.7,1.4,1.2,1.2,F,6.9,2.0,2.0,1.7,1.6,1.9,2.0,1.8,1.8,1.6,1.5,2.6,4.0,1.5,1.2,F,1.7,4.8,1.7,1.7,1.9,1.8,2.0,1.8,1.8,1.7,1.5,1.6,1.1,1.5,2.2,F,1.2,3.3,1.9,1.7,1.6,1.8,2.0,1.8,1.8,1.5,1.8,1.2,1.8,2.0,1.1,1.0,0.6,0.9,1.8,1.5,1.7,1.4,1.4,1.6,1.6,1.7,1.8,0.8,1.0,1.3,0.9,0.7,1.2,0.9,F,1.6,1.6,1.4,1.2,1.6,1.7,1.0,1.1,0.9,1.6,0.9,1.1,0.7,1.1,F,F,F,1.4,1.4,1.5,1.6,1.8,1.0,2.1,1.8,0.9,0.9,1.0,0.8,1.4,1.6,1.3,F,F,1.1,1.2,1.6,0.9,1.2,1.3,F,F,0.8,1.5,1.4,1.1,1.1,0.7,F,F,0.9,1.8,1.4,0.9,1.5,F,1.2,1.2,1.3,1.0,1.5,1.6,1.4,1.2,1.0,1.5,1.3,1.2,1.3,1.2,0.8,F,1.0,1.0,1.3,1.0,1.1,1.5,1.2,1.4,1.2,1.0,1.6,2.1,0.8,1.3,F,F,0.4,0.9,1.3,1.0,1.4,1.5,1.5,1.0,1.2,1.4,2.0,1.2,1.3,1.3,F,0.6,F,1.0,1.0,1.0,0.9,0.9,1.2,0.8,1.1,1.2,1.2,1.5,F,1.2,F,0.4,0.9,F,F,F,1.0,0.9,1.0,1.2,0.9,1.2,1.1,0.8,0.9,F,F,F,0.6,0.6,0.6,0.8,1.0,1.0,1.1,1.4,1.3,1.3,1.2,1.0,F,F,F,F,F,1.0,1.1,0.8,0.8,1.3,1.3,1.0,1.0,1.5,1.2,1.5,F,1.0,F,F,0.8,0.7,F,0.8,0.8,1.5,1.4,1.3,1.0,1.1,1.5,1.4,0.9,0.9,1.0,1.4,0.8,0.9,1.0,F,1.4,1.5,1.0,1.0,1.0,1.1,1.3,1.0,0.7,1.0,2.6,2.2,2.4,1.2,1.2,1.9
MOD15A2H.A2000161.h30v12.006.2020046020642.Lai_500m,MOD15A2H,A2000161,Lat-33.6152Lon150.7236Samp17Line17,2020046020642,5.0,5.6,4.8,5.9,1.4,1.2,0.8,1.0,1.2,1.2,1.3,1.3,1.2,1.2,1.0,1.2,0.7,5.6,5.6,2.1,1.2,1.2,1.2,1.3,1.4,1.4,1.2,1.0,1.1,1.3,1.6,1.0,1.0,F,4.1,4.8,1.2,1.2,1.2,1.3,1.4,1.4,1.2,1.2,1.2,1.5,1.0,1.0,1.2,F,1.0,4.1,1.3,1.3,1.2,1.2,1.5,1.3,1.2,1.2,1.2,0.9,1.2,1.1,0.8,1.0,0.6,0.6,1.2,1.2,1.2,1.0,1.2,1.2,1.1,1.1,1.1,0.6,0.6,1.0,0.7,0.6,0.6,0.6,F,1.1,1.2,1.5,1.0,1.2,1.2,0.7,0.7,0.6,0.9,0.7,0.6,0.5,0.8,F,F,F,1.2,1.0,1.0,1.1,1.1,0.8,1.1,0.9,0.6,0.7,0.7,0.6,0.7,0.7,0.7,F,F,0.8,0.6,1.0,0.6,0.8,0.9,F,F,0.6,1.0,0.9,1.0,0.7,0.6,F,F,0.6,1.3,1.0,1.0,0.9,F,0.8,0.9,1.0,0.9,0.9,1.0,0.7,0.7,0.7,0.8,0.8,1.0,0.7,1.0,0.6,F,0.8,0.7,0.9,0.9,1.0,1.0,1.0,0.7,0.8,0.6,0.9,0.9,0.6,0.8,F,F,0.6,0.6,0.9,0.8,0.9,1.0,1.2,0.7,0.7,0.9,0.9,0.7,0.9,0.9,F,0.6,F,0.8,0.6,0.8,0.7,0.7,0.8,0.7,0.9,1.0,1.1,1.1,F,0.9,F,0.5,0.6,F,F,F,0.7,0.7,0.7,0.7,0.7,0.9,0.9,0.7,0.7,F,F,F,0.5,0.5,0.6,0.7,0.7,0.7,0.7,0.9,0.9,0.9,1.0,0.7,F,F,F,F,F,0.8,0.8,0.6,0.6,0.9,1.0,0.8,0.8,0.9,0.8,1.0,F,0.8,F,F,0.6,0.7,F,0.6,0.7,1.0,1.0,1.0,0.9,0.9,1.0,0.8,0.8,0.8,0.9,0.9,0.9,0.7,0.9,F,1.0,1.1,0.9,0.9,0.9,0.9,0.8,0.7,0.7,0.9,2.9,2.9,3.3,0.9,0.9,1.1
MOD15A2H.A2000169.h30v12.006.2020047235920.Lai_500m,MOD15A2H,A2000169,Lat-33.6152Lon150.7236Samp17Line17,2020047235920,2.8,F,3.1,3.2,1.3,1.2,0.6,1.1,1.2,1.2,1.3,1.4,1.2,1.1,1.4,0.9,0.9,F,4.4,1.5,1.5,1.2,1.2,1.2,1.3,1.3,1.3,1.4,1.5,1.2,1.7,1.1,0.9,F,0.2,3.0,1.4,1.2,1.3,1.5,1.5,1.5,1.4,1.4,1.3,1.5,1.0,1.1,1.2,F,1.0,1.7,1.3,1.4,1.3,1.3,1.4,1.4,1.2,1.2,1.3,1.0,1.2,1.2,0.9,0.7,0.6,0.7,1.2,1.3,1.2,1.0,1.0,1.2,1.2,1.2,1.2,0.6,0.6,0.9,0.6,0.6,0.6,0.6,F,1.2,1.2,1.0,0.9,1.2,1.3,0.7,0.7,0.6,1.2,0.8,0.7,0.6,0.7,F,F,F,1.2,1.0,0.9,1.0,1.1,0.6,1.0,1.0,0.6,0.7,0.6,0.6,0.6,0.7,0.7,F,F,0.8,0.7,1.2,0.6,1.0,1.0,F,F,0.6,0.9,0.9,0.6,0.6,0.4,F,F,0.6,1.3,0.9,1.1,1.0,F,0.8,1.0,1.0,0.9,0.9,0.9,0.7,0.7,0.7,0.7,0.7,1.0,0.8,0.7,0.6,F,0.7,0.9,1.0,0.9,1.0,1.0,0.9,0.7,0.7,0.6,0.9,0.7,0.6,0.7,F,F,0.6,0.7,1.0,0.8,1.0,1.0,1.1,0.7,0.7,0.9,0.9,0.6,0.8,0.9,F,0.6,F,0.9,0.8,0.8,0.7,0.7,0.8,0.7,0.8,1.1,1.2,1.2,F,1.0,F,0.6,0.7,F,F,F,0.7,0.7,0.8,0.9,0.9,1.1,0.9,0.6,0.7,F,F,F,0.6,0.5,0.5,0.7,0.7,0.7,0.8,0.9,0.9,1.0,1.0,0.8,F,F,F,F,F,0.9,0.9,0.7,0.7,1.0,1.0,0.8,0.8,1.2,0.9,1.0,F,0.8,F,F,0.6,0.6,F,0.7,0.7,1.1,1.1,1.1,0.8,0.9,1.1,1.1,0.8,0.8,0.7,0.7,0.6,0.8,0.8,F,1.0,1.1,0.9,0.8,0.9,0.9,1.1,0.6,0.6,0.8,2.7,2.7,F,1.0,1.0,1.2
MOD15A2H.A2000177.h30v12.006.2020048052454.Lai_500m,MOD15A2H,A2000177,Lat-33.6152Lon150.7236Samp17Line17,2020048052454,F,6.8,4.8,3.4,1.6,1.2,0.7,1.1,1.3,1.4,1.4,1.4,1.3,1.3,1.3,1.2,0.8,F,4.4,2.0,1.8,1.3,1.2,1.4,1.4,1.4,1.3,1.2,1.3,2.1,2.0,1.2,1.2,F,2.2,2.8,1.5,1.5,1.5,1.4,1.5,1.6,1.4,1.3,1.2,1.9,1.2,1.0,1.8,F,1.2,F,1.5,1.5,1.5,1.4,1.5,1.5,1.3,1.2,1.3,0.8,1.2,1.2,0.8,0.7,0.6,0.8,1.5,1.3,1.3,1.0,1.0,1.2,1.3,1.2,1.2,0.6,0.6,1.0,0.7,0.6,0.6,0.7,F,1.3,1.4,1.0,1.0,1.2,1.3,0.6,0.6,0.6,1.1,0.8,0.8,0.3,0.9,F,F,F,1.4,1.1,1.0,1.2,1.3,0.8,1.3,0.8,0.4,0.8,0.8,0.6,0.6,0.7,0.7,F,F,0.8,0.8,1.1,0.6,0.8,0.7,F,F,0.6,1.1,1.1,0.9,0.7,0.6,F,F,0.6,1.5,1.1,1.0,1.0,F,0.7,0.9,1.0,1.0,1.0,0.8,0.7,0.7,0.7,0.8,1.1,1.1,1.0,1.0,0.6,F,0.7,0.6,1.0,1.0,1.1,1.2,0.7,0.7,0.7,0.7,1.0,1.2,1.0,0.8,F,F,0.4,0.6,0.9,0.8,1.0,1.2,1.0,0.6,0.6,0.8,1.0,0.6,0.9,1.0,F,0.3,F,0.9,0.8,0.8,0.8,0.7,0.9,0.6,1.0,1.0,1.1,1.1,F,0.9,F,0.4,0.7,F,F,F,0.7,0.7,0.7,0.9,0.7,1.0,0.9,0.7,0.8,F,F,F,0.5,0.6,0.6,0.7,0.7,0.7,0.8,1.0,1.0,1.0,1.1,0.9,F,F,F,F,F,0.9,0.9,0.7,0.7,1.0,1.1,1.0,1.0,1.2,0.9,1.2,F,0.8,F,F,0.7,0.6,F,0.7,0.7,1.2,1.2,1.1,1.0,1.0,1.2,1.1,0.8,0.7,0.9,0.7,0.6,0.7,0.9,F,1.2,1.2,1.0,1.0,1.0,1.0,1.0,0.9,0.8,1.0,2.6,2.5,F,1.0,1.1,1.2
MOD15A2H.A2000185.h30v12.006.2020048082503.Lai_500m,MOD15A2H,A2000185,Lat-33.6152Lon150.7236Samp17Line17,2020048082503,3.0,6.8,6.9,4.1,1.5,1.2,0.6,0.9,1.2,1.4,1.3,1.3,1.2,1.7,1.2,1.2,0.8,2.6,6.9,1.8,1.5,1.2,1.1,1.3,1.6,1.4,1.3,1.2,1.2,2.1,2.4,1.2,1.0,F,2.9,3.0,1.4,1.2,1.1,1.3,1.6,1.5,1.4,1.2,1.2,2.1,1.5,1.2,1.2,F,1.1,2.6,1.4,1.2,1.3,1.3,1.4,1.3,1.3,1.1,1.2,0.8,1.1,1.1,0.7,0.6,0.4,0.9,1.3,1.2,1.3,1.0,1.0,1.2,1.4,1.2,1.0,0.6,0.4,1.1,0.6,0.5,0.6,0.7,F,1.3,1.4,0.9,1.0,1.3,1.4,0.7,0.7,0.6,0.8,0.7,0.6,0.6,0.9,F,F,F,1.3,1.0,1.0,1.3,1.3,0.6,0.8,0.6,0.3,0.7,0.9,0.6,0.7,0.7,0.7,F,F,0.8,0.7,1.2,0.6,0.5,0.7,F,F,0.6,1.1,1.0,0.7,0.7,0.5,F,F,0.6,1.2,1.2,0.9,0.6,F,0.6,1.0,0.8,0.8,1.0,0.7,0.7,0.6,0.6,0.7,0.9,1.5,0.6,0.7,0.6,F,0.7,0.6,1.0,1.0,1.0,1.0,0.7,0.8,0.8,0.8,0.9,1.5,0.9,0.7,F,F,0.4,0.7,0.9,0.7,1.0,1.2,1.1,0.6,0.7,0.7,0.9,0.6,0.8,0.9,F,0.3,F,0.9,0.6,0.7,0.6,0.5,0.9,0.7,0.8,1.0,1.1,1.2,F,0.9,F,0.3,0.5,F,F,F,0.6,0.6,0.8,1.0,0.7,1.0,1.0,0.6,0.7,F,F,F,0.3,0.3,0.3,0.6,0.7,0.7,0.8,1.0,1.0,1.0,1.1,0.8,F,F,F,F,F,0.7,0.8,0.6,0.7,1.2,1.0,0.8,0.8,1.2,0.9,1.1,F,0.7,F,F,0.7,0.7,F,0.6,0.9,1.2,1.3,1.1,0.9,0.9,1.2,1.1,0.9,0.8,0.8,1.0,0.7,0.8,0.8,F,1.1,1.1,0.9,0.9,0.9,0.9,1.2,0.7,0.7,0.8,2.0,0.2,1.9,1.1,1.1,1.2
MOD15A2H.A2000193.h30v12.006.2020051203821.Lai_500m,MOD15A2H,A2000193,Lat-33.6152Lon150.7236Samp17Line17,2020051203821,3.0,5.6,6.5,3.2,1.5,1.2,0.6,1.0,1.4,1.3,1.3,1.2,1.2,1.2,1.0,1.0,0.7,F,3.3,1.7,1.5,1.2,1.2,1.3,1.3,1.4,1.2,1.2,1.2,1.3,3.4,1.4,1.3,F,F,F,1.5,1.2,1.3,1.4,1.5,1.4,1.2,1.3,1.2,1.5,0.8,0.8,1.6,F,1.0,F,1.5,1.5,1.3,1.3,1.5,1.4,1.3,1.2,1.2,0.9,1.2,1.2,0.8,0.8,0.6,0.8,1.3,1.3,1.3,1.0,0.9,1.2,1.3,1.2,1.2,0.6,0.6,0.9,0.6,0.5,0.7,0.7,F,1.3,1.3,0.9,0.9,1.2,1.2,0.8,0.6,0.6,1.0,0.6,0.8,0.4,0.7,F,F,F,1.2,0.9,1.0,1.0,1.2,0.8,1.2,0.7,0.6,0.6,0.8,0.5,0.5,0.7,0.7,F,F,0.8,1.0,1.2,0.6,0.6,0.7,F,F,0.6,1.1,1.0,0.7,0.7,0.5,F,F,0.6,1.4,1.0,0.7,1.0,F,0.7,1.0,1.0,0.9,1.0,1.0,0.7,0.6,0.7,0.7,0.9,1.1,0.9,1.0,0.6,F,0.7,0.8,1.0,1.0,1.0,1.1,0.8,0.9,0.7,0.7,1.0,1.1,0.9,0.8,F,F,0.3,0.8,1.0,0.7,1.1,1.1,1.0,0.7,0.7,1.0,0.9,0.6,0.9,1.0,F,0.3,F,0.9,0.6,0.7,0.7,0.8,0.9,0.7,1.0,1.0,1.2,1.1,F,0.9,F,0.3,0.7,F,F,F,0.7,0.7,0.7,1.0,0.9,1.0,1.0,0.6,0.7,F,F,F,0.5,0.6,0.6,0.6,0.7,0.8,0.8,1.0,1.0,1.0,1.1,0.9,F,F,F,F,F,0.9,0.9,0.8,0.7,1.0,1.2,1.0,0.8,1.2,0.8,1.2,F,0.7,F,F,0.7,0.7,F,0.8,0.8,1.2,1.2,1.2,1.0,1.0,1.2,1.1,0.9,0.8,0.8,0.7,0.8,1.0,0.9,F,1.1,1.2,1.0,1.0,0.9,1.0,1.1,0.8,0.8,1.0,2.5,2.0,2.5,1.0,1.0,1.2
MOD15A2H.A2000201.h30v12.006.2020048200244.Lai_500m,MOD15A2H,A2000201,Lat-33.6152Lon150.7236Samp17Line17,2020048200244,F,6.8,6.1,4.0,1.4,1.2,0.6,1.0,1.2,1.2,1.2,1.3,1.2,1.2,1.2,1.2,1.0,F,4.0,1.5,1.4,1.2,1.2,1.2,1.5,1.2,1.2,1.2,1.2,2.2,2.1,1.4,1.0,F,3.9,3.9,1.4,1.2,1.4,1.3,1.5,1.3,1.3,1.1,1.1,1.1,1.6,1.1,1.3,F,1.1,3.0,1.4,1.4,1.3,1.3,1.3,1.3,1.2,1.2,1.2,0.8,1.1,1.0,0.7,0.7,0.6,0.8,1.3,1.2,1.3,1.0,0.9,1.0,1.2,1.2,1.2,0.6,0.6,1.0,0.6,0.5,0.7,0.7,F,1.2,1.3,0.8,0.8,1.2,1.3,0.7,0.7,0.6,0.9,0.8,0.7,0.5,0.7,F,F,F,1.2,0.9,0.9,1.0,1.3,0.7,0.8,0.8,0.6,0.6,0.7,0.6,0.5,0.7,0.7,F,F,0.8,0.9,1.0,0.6,0.8,0.7,F,F,0.6,1.1,0.8,0.7,0.7,0.5,F,F,0.7,1.5,1.0,0.9,0.8,F,0.7,1.0,1.0,0.9,0.9,0.7,0.7,0.6,0.7,0.7,1.0,1.6,0.6,1.0,0.5,F,0.7,0.7,1.0,1.0,1.0,1.2,0.7,0.7,0.8,0.7,1.0,0.6,0.9,0.7,F,F,0.3,0.8,1.0,0.7,1.0,1.2,1.0,0.7,0.7,0.9,0.9,0.6,0.7,0.9,F,0.3,F,0.7,0.7,0.7,0.6,0.6,0.9,0.6,1.0,1.0,1.1,1.2,F,1.0,F,0.4,0.7,F,F,F,0.7,0.6,0.7,0.9,0.7,1.0,1.0,0.6,0.7,F,F,F,0.4,0.4,0.6,0.5,0.7,0.7,0.7,0.9,1.0,1.0,1.0,0.7,F,F,F,F,F,0.7,0.9,0.6,0.7,1.2,1.1,0.8,0.8,1.1,1.0,1.1,F,0.8,F,F,0.7,0.7,F,0.7,0.8,1.2,1.2,1.1,0.8,0.8,1.2,1.1,1.0,0.8,0.8,0.8,0.8,0.8,0.8,F,1.1,1.1,0.8,0.8,0.8,0.8,1.2,0.8,0.7,0.8,2.5,2.1,2.1,0.9,1.0,1.1
MOD15A2H.A2000209.h30v12.006.2020048230806.Lai_500m,MOD15A2H,A2000209,Lat-33.6152Lon150.7236Samp17Line17,2020048230806,3.0,3.2,3.0,3.0,1.3,1.1,0.6,1.0,1.2,1.2,1.2,1.3,1.2,1.2,1.0,1.0,0.9,2.5,2.9,1.5,1.3,1.1,1.1,1.2,1.3,1.2,1.2,1.2,1.2,1.5,4.9,1.5,1.0,F,2.3,2.8,1.3,1.2,1.3,1.2,1.2,1.2,1.2,1.3,1.3,1.4,1.6,0.7,1.9,F,0.8,2.7,1.4,1.3,1.3,1.2,1.2,1.2,1.2,1.3,1.4,1.0,1.2,1.2,0.8,0.7,0.5,0.8,1.3,1.2,1.2,0.9,0.9,1.1,1.3,1.2,1.4,0.7,0.5,0.8,0.6,0.5,0.8,0.7,F,1.2,1.2,0.8,0.8,1.2,1.3,0.8,0.8,0.6,1.0,0.7,0.8,0.4,0.7,F,F,F,1.2,0.9,0.9,1.2,1.3,0.8,1.1,0.6,0.3,0.7,0.6,0.5,0.6,0.7,0.7,F,F,0.7,0.9,1.1,0.6,0.9,0.8,F,F,0.6,1.2,1.1,0.7,0.7,0.5,F,F,0.7,1.4,1.2,1.1,0.8,F,0.7,1.0,1.0,1.0,1.0,1.0,0.7,0.7,0.7,0.7,0.8,1.7,0.8,1.0,0.6,F,0.7,0.7,1.0,1.0,1.0,1.1,0.7,0.9,0.7,0.8,0.8,0.9,0.6,0.7,F,F,0.4,0.7,1.0,0.7,1.1,1.1,1.0,0.9,0.7,0.8,0.9,0.6,0.8,1.0,F,0.3,F,0.8,0.6,0.8,0.6,0.6,0.9,0.7,0.7,0.9,0.9,0.7,F,1.0,F,0.3,0.4,F,F,F,0.6,0.6,0.6,0.8,0.7,1.0,0.8,0.5,0.6,F,F,F,0.5,0.3,0.5,0.5,0.6,0.6,0.7,0.9,1.0,0.9,1.1,0.6,F,F,F,F,F,0.8,0.8,0.5,0.6,0.9,1.0,0.7,0.7,1.2,0.7,1.2,F,0.7,F,F,0.7,0.7,F,0.6,0.6,1.2,1.0,1.0,0.6,0.8,1.1,1.0,0.8,0.7,0.9,0.8,0.7,0.9,1.0,F,1.0,1.1,0.8,0.6,0.6,0.8,1.1,0.6,0.6,0.9,1.9,2.0,2.5,1.0,1.0,1.0
MOD15A2H.A2000217.h30v12.006.2020049000514.Lai_500m,MOD15A2H,A2000217,Lat-33.6152Lon150.7236Samp17Line17,2020049000514,F,F,F,2.6,1.2,1.2,0.6,0.8,1.0,1.0,1.1,1.1,1.0,1.0,1.4,1.6,0.6,F,F,1.4,1.2,1.0,1.2,1.1,1.0,1.2,1.0,1.0,1.0,1.8,1.4,1.0,1.2,F,F,2.6,1.2,1.0,1.2,1.1,1.2,1.1,1.1,1.0,1.0,1.8,1.1,0.8,0.9,F,1.0,2.6,1.2,1.2,1.1,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,0.5,0.6,0.6,0.8,1.2,1.1,1.0,0.9,0.7,0.9,1.0,1.0,1.1,0.6,0.4,0.9,0.6,0.6,0.6,0.6,F,1.1,1.1,0.7,0.7,0.9,1.0,0.6,0.6,0.6,0.8,0.6,0.5,0.3,0.7,F,F,F,1.0,0.7,0.7,0.9,1.0,0.6,1.0,0.7,0.6,0.7,0.5,0.3,0.5,0.6,0.6,F,F,0.6,0.7,1.0,0.6,0.6,0.6,F,F,0.6,0.9,0.9,0.6,0.7,0.4,F,F,0.5,1.2,0.8,0.9,0.9,F,0.6,0.9,0.8,0.8,0.8,0.6,0.7,0.5,0.6,0.7,1.2,1.6,0.8,0.7,0.5,F,0.5,0.5,0.9,0.9,0.8,0.9,0.7,0.9,0.9,0.6,1.0,0.6,0.5,0.7,F,F,0.6,0.5,0.7,0.6,0.9,1.0,1.0,0.8,0.6,0.6,0.8,0.5,0.6,0.7,F,0.6,F,0.7,0.5,0.6,0.5,0.6,0.8,0.6,0.8,0.8,1.0,1.0,F,0.8,F,0.6,0.6,F,F,F,0.6,0.6,0.6,0.6,0.6,0.8,0.7,0.5,0.5,F,F,F,0.3,0.5,0.5,0.4,0.5,0.6,0.6,0.9,0.8,0.8,0.9,0.7,F,F,F,F,F,0.7,0.7,0.5,0.6,0.8,0.8,0.6,0.7,1.0,0.7,0.8,F,0.6,F,F,0.6,0.5,F,0.5,0.6,1.1,1.0,0.9,0.6,0.7,1.0,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,F,0.9,0.9,0.7,0.7,0.6,0.6,1.0,0.6,0.4,0.7,F,F,1.8,0.7,0.9,1.0
